host,port
46.101.71.58,18018
51.137.60.68,18018
138.197.177.229,18018
20.123.80.80,18018
128.130.122.101,18018
143.244.205.208,18018
164.92.143.182,18018
3.126.74.45,18018
nitter.at,12834
142.93.167.83,58150
88.200.23.239,34388
104.248.100.226,18018
193.46.254.38,18018
164.92.133.159,18018
10.3.0.4,18018
20.126.29.4,18018
13.81.115.172,18018
157.230.31.236,18018
88.200.23.239,18018
164.90.241.58,18018
167.172.183.220,18018
138.68.112.193,18018
157.230.99.2,18018
134.122.88.104,18018
161.35.21.146,18018
20.126.2.67,18018
157.245.17.243,18018
139.59.206.226,18018
167.71.36.88,18018
173.212.194.142,18018
161.35.223.236,18018
159.89.215.199,18018
164.92.173.135,18018
213.47.118.194,18018
165.227.247.16,18018
16.235.46.186,18018
64.225.95.237,18018
117.106.102.60,18018
109.190.38.44,18018
128.130.112.83,50866
80.108.106.200,6540
157.230.31.236,58948
89.144.202.2,65170
3.120.126.31,18018
139.59.206.176,18018
86.56.242.179,54021
144.126.246.255,18018
58.193.207.142,18018
80.108.95.155,53317
157.230.31.236,49414
207.154.203.135,57440
20.126.29.4,38744
88.200.23.239,34284
89.142.138.94,58836
84.115.238.55,59100
142.93.167.83,48348
20.126.29.4,35858
84.115.238.55,59075
84.115.223.21,49210
20.126.29.4,32918
20.126.29.4,57360
84.115.221.56,60924
68.183.208.28,45232
167.235.73.152,56712
20.126.29.4,59514
20.126.29.4,49066
20.126.29.4,48412
68.183.208.28,56480
207.154.203.135,55296
20.126.29.4,58736
159.65.119.249,55176
213.225.38.83,24917
20.126.29.4,45352
161.35.21.146,53602
64.227.114.191,18018
104.248.100.76,18018
167.172.103.227,18018
185.230.160.111,18018
26.212.64.218,18018
128.130.239.199,52249
29.36.147.226,18018
62.178.13.17,56648
157.230.31.236,42176
88.200.23.239,47616
84.115.221.58,33607
193.122.4.42,41166
134.122.88.104,59336
128.130.246.129,57256
38.254.199.205,18018
128.130.246.129,55990
20.126.29.4,58934
80.108.95.155,61548
84.115.221.58,33637
88.200.23.239,47588
91.118.114.136,49312
20.126.29.4,45848
45.40.56.112,48628
128.130.246.129,56446
178.191.208.59,61991
185.222.241.212,18018
84.115.223.186,12139
84.113.55.218,51985
84.115.221.58,33619
188.171.221.180,18018
84.113.167.151,57497
80.211.208.15,32856
84.115.217.219,36425
84.115.223.186,12151
84.115.217.219,36421
62.178.51.126,51498
84.115.217.219,36418
157.230.31.236,57532
207.154.203.135,18018
20.126.29.4,48454
84.115.217.219,36412
172.17.0.2,18018
123.123.123.123,18018
31.12.0.234,18018
80.187.115.116,18018
178.13.153.96,18018
100.111.38.181,18018
134.100.66.194,18018
128.130.122.101,18080
128.130.122.101,18019
128.130.122.101,18016
88.200.23.239,49464
167.235.73.152,50138
88.200.23.239,40080
88.200.23.239,40284
88.200.23.239,45224
34.75.199.41,18018
139.59.159.65,44402
102.180.49.151,18018
112.195.13.248,18018
132.6.86.100,18018
139.59.136.230,18018
139.59.205.101,18018
142.93.167.83,18018
143.244.201.84,18018
143.244.205.206,18018
144.126.247.134,18018
80.211.208.15,18018
167.235.73.152,18018
20.16.153.5,18018
214.126.244.201,18018
80.108.95.155,18018
81.223.142.28,18018
193.122.4.42,18018
171.96.249.108,18018
67.207.77.64,18018
193.122.4.42,41262
213.47.118.194,44509
159.65.119.144,48606
20.126.29.4,46252
20.126.29.4,38190
3.120.126.31,38110
84.113.55.218,62545
88.200.23.239,39264
88.200.23.239,54158
62.178.51.126,51206
88.200.23.239,49934
84.115.223.186,12059
81.217.107.219,57930
199.180.170.6,18018
143.179.134.197,18018
3.120.126.31,53826
62.178.51.126,65503
54.210.100.81,44420
91.118.114.136,64782
64.227.114.191,36058
88.200.23.239,37186
88.200.23.239,55500
88.200.23.239,55522
104.248.100.76,48150
128.130.246.129,33264
167.172.103.227,35820
81.217.189.82,57533
3.120.126.31,36794
84.115.217.219,36478
159.89.9.134,17017
128.130.246.129,43382
84.113.167.151,57487
84.115.229.99,35022
159.89.9.134,16016
128.130.246.129,49082
62.178.51.126,64496
128.130.239.199,55436
89.142.138.94,34570
213.47.118.194,17075
84.115.217.219,36540
157.230.31.236,60430
62.178.51.126,64902
159.65.119.249,56630
196.107.15.14,18018
213.208.157.89,55003
68.183.208.28,18018
177.157.248.142,18018
84.115.223.186,12135
37.223.189.162,18018
178.191.208.59,63573
213.208.157.89,55019
143.198.112.97,39008
112.168.93.45,18018
128.130.235.197,59822
84.112.193.9,18018
31.12.0.218,18018
165.227.247.111,18018
159.89.212.146,18018
91.141.66.2,18018
86.56.242.179,54264
86.56.242.179,54262
84.112.3.2,49645
159.89.215.54,18018
139.59.159.65,18018
128.130.255.113,18019
nitter.at,18018
crc.mtq.at,18018
kerma.duckdns.org,18018
167.99.240.168,18018
10.202.167.67,18018
252.248.214.57,18018
144.48.18.32,18018
135.60.34.50,18018
74.58.238.71,18018
164.92.255.123,18018
167.99.240.225,18018
81.217.189.82,57459
64.225.95.64,18018
159.65.119.144,18018
54.210.100.81,18018
32.115.63.118,18018
159.89.9.134,18018
67.207.78.202,18018
79.0.52.190,18018
59.96.113.4,18018
55.15.130.19,18018
